"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Mcee",0.46329447622626,-1.81469991308808,1.90755272405439,-0.951323593945564,0.341440133410047,NA
"Mcemp1",0.317404606555538,-0.743329528304893,2.3108128164836,-0.321674487436862,0.747699307462496,NA
"Mcf2",0.248663850778744,-1.74757522642188,3.03532178274503,-0.575746280462377,0.564786688438909,NA
"Mcfd2",1.89829774367141,0.732831124637544,0.895937562397901,0.817948878799304,0.413386378462236,NA
"Mchr1",0.120826513772992,-0.582744882739295,3.15959832656306,-0.184436381624873,0.853671130936247,NA
"Mcm10",0.0589457813943397,-1.17050490285429,3.16074699792792,-0.370325402071608,0.71114004900852,NA
"Mcm2",0.357824713292898,-0.560730830474136,1.98774442769177,-0.282094027110554,0.777871413005257,NA
"Mcm3",0.19088676785568,0.240463404702803,3.11972473781786,0.0770784043181319,0.938561172739878,NA
"Mcm4",1.04260218786905,0.4155143519131,1.09967872691772,0.377850677422615,0.705541524464706,NA
"Mcm5",0.441956321615909,-1.10724905403489,1.80860366435327,-0.612212103656678,0.540397434572695,NA
"Mcm6",0.684152367733907,0.974852776729889,1.36791053474371,0.712658285735432,0.476057235111247,NA
"Mcm7",0.310365669127388,-0.200342802501081,2.12306450228018,-0.0943649155670547,0.924819284728224,NA
"Mcm8",0.393320992037666,-0.106917448098481,2.04026373622381,-0.0524037388893494,0.958206995009694,NA
"Mcm9",1.65161330885971,-0.456107247130575,0.853563885424729,-0.53435630878832,0.59309504115867,NA
"Mcph1",0.931043703818904,1.06341238981009,1.20645421637797,0.881436175010996,0.378081785119848,NA
"Mcrip2",0.117905333357865,-0.582745111638122,3.15959833060899,-0.184436453834245,0.853671074293152,NA
"Mcrs1",0.386929130620166,-0.272130570269236,1.87779277064836,-0.144920448370496,0.884773681404245,NA
"Mctp1",1.53520831965596,0.154983325393453,0.933122672901906,0.166091050934892,0.868085296660684,NA
"Mctp2",0.120826513772992,-0.582744882739295,3.15959832656306,-0.184436381624873,0.853671130936247,NA
"Mcts1",0.831697932189446,-1.00707912627366,1.31857908440275,-0.763760883352561,0.445009751360009,NA
"Mcts2",0.0977499847762246,-0.600887779439571,3.15992049937156,-0.19015914468705,0.849184424739004,NA
"Mcub",0.114970382373552,-0.582745158412028,3.15959833143575,-0.184436468589735,0.853671062718524,NA
"Mcur1",0.851846617577109,0.464418555797028,1.22644301065936,0.378671125980281,0.704932097459075,NA
"Mdfic",0.138705821531644,-0.183238716529201,3.14839024518867,-0.0582007636471444,0.953588712452773,NA
"Mdk",0.218576498549217,0.410763510389362,2.62935360418735,0.156222240224823,0.87585784679572,NA
