Gene,Th_1,Th_2,Th_3,Th_4,Th_5,Am_1,Am_2,Am_3,Am_4,Am_5
Inha,3,0,2,0,0,3,1,2,4,2
Inhba,0,0,0,0,0,0,1,0,0,1
Inhbb,0,0,0,0,0,0,0,2,2,1
Inip,2,1,0,1,0,2,1,0,4,2
Inka1,1,0,0,0,0,0,0,1,0,0
Inka2,1,4,1,1,1,8,2,6,11,7
Ino80,2,2,1,1,2,3,9,4,7,8
Ino80b,0,1,0,0,2,0,5,0,2,2
Ino80c,0,2,2,1,1,3,2,4,3,4
Ino80d,11,12,8,5,1,22,46,16,35,17
Ino80dos,0,0,0,0,0,1,2,1,0,1
Ino80e,2,3,1,3,2,7,4,10,4,5
Inpp1,2,4,0,2,0,8,11,2,6,5
Inpp4a,9,31,12,6,6,37,41,28,49,31
Inpp4b,6,3,5,4,3,13,27,22,17,11
Inpp5a,0,2,1,1,1,11,11,8,9,10
Inpp5b,3,4,2,1,0,10,6,3,12,2
Inpp5d,0,1,0,0,0,0,0,0,0,2
Inpp5e,1,3,5,7,1,6,7,5,11,4
Inpp5f,4,5,5,6,1,13,16,6,10,18
Inpp5j,2,4,1,0,3,4,5,3,10,4
Inpp5k,0,6,3,5,1,7,4,3,18,8
Inppl1,1,3,2,0,2,4,7,3,6,4
Ins2,0,0,0,0,0,0,1,0,0,0
Insc,0,0,0,1,0,0,1,0,1,0
Insig1,3,3,3,2,1,4,3,13,13,8
Insig2,2,2,1,0,1,4,5,5,11,1
Insm1,0,3,0,2,0,2,1,3,5,3
Insm2,0,0,0,0,0,1,0,0,0,0
Insr,7,15,7,7,4,35,25,32,41,23
Insrr,0,1,0,1,0,2,1,0,0,0
Insyn1,2,2,1,4,2,18,11,11,24,17
Insyn2a,2,10,1,1,2,8,26,15,4,4
Insyn2b,1,4,2,4,2,9,15,10,23,6
Ints1,13,14,5,12,6,31,18,22,38,34
Ints10,0,4,2,5,0,9,8,5,10,5
Ints11,0,3,0,3,1,3,3,3,5,3
Ints12,3,2,0,0,0,3,6,1,5,3
Ints13,1,3,0,0,2,5,6,5,2,2
Ints14,1,1,0,0,0,7,3,4,5,3
Ints2,1,6,2,0,0,5,4,6,5,4
Ints3,3,12,6,7,5,19,24,26,29,28
Ints4,3,7,0,4,2,7,12,4,14,6
Ints5,0,2,1,2,1,4,7,2,5,1
Ints6,3,6,1,2,0,5,6,6,9,3
Ints6l,0,5,1,0,3,5,12,2,3,7
Ints7,1,6,2,4,0,11,6,7,9,16
Ints8,2,5,1,4,1,9,12,11,12,12
Ints9,1,3,2,3,1,3,5,2,6,3
Intu,0,2,1,0,1,5,0,2,4,1
Invs,1,4,1,0,0,3,4,2,2,0
Ip6k1,11,12,8,7,2,18,24,22,21,17
Ip6k2,5,12,3,3,1,16,16,7,30,16
Ip6k3,0,0,0,0,1,0,2,0,0,2
Ipcef1,1,3,0,2,1,3,5,5,6,6
Ipmk,8,7,6,3,5,9,9,8,29,7
Ipo11,1,4,4,1,1,6,6,5,10,5
Ipo13,5,11,2,8,4,31,18,20,37,38
Ipo4,0,3,1,0,0,3,1,4,3,3
Ipo5,4,8,4,7,2,12,16,18,21,13
Ipo7,8,8,4,4,7,24,34,15,21,15
Ipo8,1,2,4,0,1,8,13,8,8,2
Ipo9,10,13,9,13,6,35,25,27,41,28
Ipp,0,1,0,2,0,3,1,3,5,2
Ippk,0,0,1,1,0,2,4,0,3,0
Iqank1,0,0,0,0,0,0,0,1,0,0
Iqcb1,1,2,0,2,0,0,4,2,5,3
Iqcc,1,0,0,0,1,0,3,0,1,1
