"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Pds5a",42.5546814747886,-0.402406824819775,0.197504960358916,-2.037451738369,0.0416047936093686,0.0916287390723814
"Gm17690",1.23616924494584,-2.70575831820645,1.32818346022723,-2.03718718025862,0.0416312880332966,0.0916737336051486
"Shroom4",1.47723679155487,2.51034724852423,1.23285136146145,2.03621241537862,0.0417290300995552,0.0918686760756921
"Slc38a6",3.0608718180423,-1.36967864556861,0.672669678644248,-2.03618312085832,0.0417319705372612,0.0918686760756921
"Pcdhb5",3.21500170432747,1.63514288592607,0.803217595354665,2.03574086945153,0.0417763828419718,0.0919447607662069
"Tra2b",8.46711408624127,-0.974055365658806,0.478482502840193,-2.03571783686337,0.0417786969440415,0.0919447607662069
"Mterf3",6.21667483452485,-0.964929597672424,0.474308680917601,-2.03439160296553,0.0419121278212181,0.0922132648056148
"Sec22b",20.0247083039412,-0.545477142157356,0.268128910047671,-2.03438391652871,0.0419129021948389,0.0922132648056148
"2610507B11Rik",71.9944873983524,0.31704840677829,0.155850186545471,2.03431522159769,0.0419198234350561,0.0922150714301141
"Thg1l",2.73554969621658,-1.41650588840337,0.696326810276469,-2.03425441545323,0.0419259506611265,0.0922151311136693
"1500015A07Rik",1.56354493677398,1.97763840639863,0.972267280250771,2.0340480920931,0.0419467468062463,0.0922474500247345
"Gm10484",0.832800104363309,3.35827094643928,1.65111370221896,2.03394287257506,0.0419573556572543,0.0922573593411946
"Nab2",3.51499124023375,1.15913075439608,0.570223675846033,2.03276504202723,0.0420762665220642,0.0924919181349491
"Zfp646",13.1670014922177,-0.658282367440783,0.323828533329009,-2.03281150266017,0.0420715705744914,0.0924919181349491
"Jpt1",4.80386381282795,1.09023379231163,0.536377688089684,2.03258602384172,0.0420943646976372,0.0925182482021199
"Gm17494",0.608743983202475,3.16180193485022,1.55563105890074,2.03248830547549,0.042104246495974,0.0925265146503327
"Kctd6",6.70118556152509,1.04833823036798,0.51595722705037,2.03183166240569,0.0421707006436711,0.0926590816323222
"BB218582",0.699758521052568,-3.02942475118478,1.49128844060157,-2.03141435868888,0.0422129790698239,0.0927384979797308
"Chpt1",1.62649445369214,2.22208421570539,1.09398692588309,2.0311798643404,0.0422367522048847,0.0927668258491816
"Elf1",3.94469364634174,-1.27065336973247,0.6255969004211,-2.03110560310828,0.0422442832007519,0.0927668258491816
"Idua",2.43239573517975,1.91983818280188,0.94519271595629,2.03116057751196,0.0422387080156341,0.0927668258491816
"Kctd10",11.0939215181873,-0.782225973968426,0.385135773370206,-2.03103951399633,0.0422509863991896,0.0927680699196151
"Pstpip2",0.868444921338552,3.01161102747844,1.48305952923708,2.03067440524635,0.0422880343826914,0.0928359302589524
"Folr1",1.45703280814209,2.36760812212472,1.16687927125385,2.0290086390691,0.0424574103950524,0.0931942315873395
"Gm13574",0.923893997021657,-3.06594947364554,1.51189942569122,-2.02787925013189,0.0425725733812882,0.093433448287592
"Mre11a",6.83035788449057,-0.973421992464044,0.480117508692662,-2.02746614076755,0.0426147637831922,0.0934946036650529
"Pgd",22.2045958656408,-0.469530628376202,0.231577520262615,-2.02753111719886,0.042608125469883,0.0934946036650529
"Ppp1r13b",57.9023002066292,0.328334592576382,0.161946623344402,2.02742475141413,0.042618992780041,0.0934946036650529
"Epn2",23.8538520713004,-0.4949487079788,0.244189904044716,-2.02690078410517,0.0426725603332564,0.0935985337431567
"Cog6",11.5989651998858,-0.751648958583283,0.370873307612257,-2.02670007022754,0.0426930952987354,0.0936290363382083
"Pik3r4",31.1645458467666,-0.454874466891516,0.224447170957957,-2.02664379751404,0.0426988540395322,0.0936290363382083
"Gatb",5.82052927645447,-0.994387720146673,0.490675194766564,-2.02657018482409,0.0427063882807682,0.0936319755823601
"Fbn2",0.550382059948081,-3.39910789329069,1.67824906568861,-2.02538941494717,0.0428273935020454,0.0938836582903742
"Tifa",0.994150803651661,2.82948106200371,1.39709705268151,2.02525734097926,0.0428409464405225,0.0938997516806407
"6430590A07Rik",0.505474356595071,-3.7012513522951,1.82767908418088,-2.02511008870789,0.042856061194605,0.0939192631311749
"Xrcc1",13.7621257390059,-0.645739420556051,0.318897711773894,-2.02491079965445,0.0428765244591178,0.0939504885126082
"Gm45534",1.19438566519601,-2.74247413919314,1.35514336914736,-2.02375202626618,0.0429956725626359,0.0941979104535315
"Sdcbp",9.72888846325355,0.7499693371161,0.370610801190755,2.02360356121971,0.0430109583321277,0.0942177448350636
"Gm49069",0.597322902246399,3.14474074427387,1.55418579207604,2.02340078020737,0.0430318438245408,0.0942246781056617
"Ramp2",2.15506745379485,1.70582981869772,0.843054843329452,2.02339128016979,0.0430328224939795,0.0942246781056617
"Scara3",5.40162490885826,2.17180451740635,1.07328684954816,2.02350799166192,0.0430208004802717,0.0942246781056617
"Erich6",1.22865575451915,-2.32782327783792,1.15050760423325,-2.02330107969107,0.0430421156526333,0.0942313775989657
"Maea",21.1554146495617,0.495347403022902,0.24489468072139,2.02269564027993,0.0431045366681707,0.0943407095428894
