"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nr6a1os",0.936312201661639,0.289723308276002,1.41928007646689,0.20413399235282,0.838248791519268,0.927670106724879
"Tbl3",8.70352878071719,-0.0992297789974016,0.486945507926596,-0.203780048038475,0.838525385043232,0.927901387544816
"Kcng2",1.26448744463909,-0.322798283639565,1.58492934186123,-0.203667302455573,0.838613495461458,0.927924074912005
"Acacb",1.04437105971502,0.302200502437861,1.48734008602083,0.203181844742958,0.83899290266448,0.928119415577496
"Gm37850",0.876657122100938,-0.301864533572203,1.48476421319069,-0.203308061233177,0.838894255153614,0.928119415577496
"Gm45555",0.971128271124945,0.276449208359402,1.36029282846307,0.203227718749167,0.838957048447136,0.928119415577496
"Zfp770",9.07355051387489,-0.0961663069276546,0.473581701112262,-0.203061703401539,0.839086804347919,0.928148484016375
"Gm49154",2.88141976944503,0.15784321483767,0.777923854202311,0.202903168459236,0.83921071772343,0.928193920818589
"Nans",6.30474418741186,-0.117462051578505,0.579098340810249,-0.202836104510604,0.839263137148174,0.928193920818589
"Ankmy1",1.21094321956806,-0.259148378800986,1.27890145702105,-0.202633578512469,0.839421442567668,0.928294198633571
"Ankrd13b",25.6276582334729,0.0727481349192225,0.359705923645488,0.202243360859745,0.839726476383373,0.928519570261997
"Pnisr",23.5704029483697,0.0595599472050175,0.29468601577074,0.202113246023028,0.83982819273096,0.928519570261997
"Tufm",4.90166420378278,0.128146080571562,0.633938550760447,0.202142747775542,0.839805129711339,0.928519570261997
"Gm13556",0.819614980731077,-0.296531955996178,1.46996470621063,-0.201727262391624,0.840129948418932,0.928628778452915
"Pcdhga1",4.15357877533967,0.13283724767779,0.658328379834118,0.201779615989306,0.840089017854495,0.928628778452915
"Zfp943",8.70777252619457,0.097813411130307,0.484483473695433,0.201892152036122,0.8400010375153,0.928628778452915
"4732471J01Rik",1.00351523957262,0.297323283163732,1.47533531219367,0.201529293514735,0.840284726366814,0.92867330456602
"Abhd17c",9.44568285229191,-0.0918977627035168,0.456258255568579,-0.2014161093677,0.840373219869579,0.92867330456602
"Fam174a",2.46101225506325,0.193798218769559,0.961884598751283,0.201477619062773,0.840325128004699,0.92867330456602
"Rusf1",9.82508592980815,0.0887179365775573,0.440908113651376,0.20121638461774,0.840529380427991,0.928771093017807
"Fzd1",5.22700255202813,-0.211837143951814,1.05637562937822,-0.200532024840918,0.841064514423488,0.929287591407372
"Slamf8",1.04713065597318,0.272229270224963,1.35831436740486,0.200416985020244,0.841154476838166,0.929312178588411
"Ibtk",14.3738775835119,0.0713738620307437,0.356446020772085,0.200237505460556,0.841294835984864,0.929317635725736
"Slc39a10",14.2096772266435,-0.0869631177278724,0.434281888773369,-0.200245784998081,0.841288360992674,0.929317635725736
"Rilpl2",2.39940942278476,0.164971317199289,0.824369318372007,0.200118215856311,0.841388127321119,0.929345891476127
