Gene,RGC_1,RGC_2,RGC_3,RGC_4,BP_1,BP_2,BP_3,BP_4,ONL_1,ONL_2,ONL_3,ONL_4
1700086O06Rik,2,0,1,0,0,0,0,0,0,0,0,3
1700086P04Rik,0,0,0,1,0,0,0,1,1,0,1,0
1700087I21Rik,0,0,1,1,0,0,1,0,2,0,0,1
1700088E04Rik,1,0,1,0,0,1,0,0,2,1,0,1
1700092E16Rik,0,0,0,0,0,0,1,0,0,0,0,0
1700092M07Rik,0,0,0,0,1,0,0,0,2,1,0,0
1700093J21Rik,0,0,0,0,0,0,0,0,1,0,0,0
1700093K21Rik,1,0,0,0,0,0,1,0,0,0,0,0
1700094D03Rik,2,0,0,0,3,0,0,1,1,2,3,1
1700094J05Rik,1,0,0,0,0,0,0,0,0,0,1,0
1700095J03Rik,1,0,0,1,0,0,0,0,0,0,0,0
1700096K18Rik,1,1,3,1,2,0,0,0,7,5,6,4
1700099I09Rik,0,0,0,1,0,0,0,0,0,0,1,0
1700100I10Rik,0,0,0,0,1,0,0,0,0,0,0,0
1700100L14Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700101I11Rik,0,0,0,0,0,2,0,0,3,4,0,1
1700102H20Rik,0,0,0,0,0,1,0,0,1,0,0,0
1700102P08Rik,1,0,1,0,0,1,0,2,1,0,1,0
1700109H08Rik,3,2,1,0,3,0,1,0,2,1,1,0
1700109K24Rik,4,4,4,6,2,1,0,2,0,0,1,0
1700110C19Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700110K17Rik,0,2,0,0,0,0,1,0,2,4,1,1
1700111E14Rik,0,0,1,1,0,0,2,0,0,0,0,0
1700112D23Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700112J16Rik,3,0,1,0,0,1,1,3,0,2,1,2
1700112L15Rik,0,0,0,0,0,0,0,0,0,0,0,0
1700113A16Rik,0,0,0,1,0,0,1,0,0,0,1,1
1700113H08Rik,1,1,0,0,0,0,0,0,0,0,0,0
1700116B05Rik,0,0,0,0,0,0,0,0,0,1,0,0
1700116H05Rik,0,0,0,0,0,0,0,0,0,1,1,0
1700119H24Rik,0,0,0,0,0,0,0,0,1,1,0,1
1700120C14Rik,0,0,0,0,0,0,0,0,0,0,1,0
1700120C18Rik,0,0,0,1,0,0,0,0,0,0,0,0
1700122H20Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700122O11Rik,1,4,0,0,1,1,2,0,1,0,2,0
1700123K08Rik,1,2,1,0,0,0,0,0,0,0,0,0
1700123L14Rik,0,2,1,1,0,0,0,0,1,0,0,0
1700123M08Rik,1,0,0,0,0,0,0,0,0,2,1,0
1700123O20Rik,20,10,16,14,1,1,1,5,12,16,10,4
1700123O21Rik,0,1,0,0,0,0,0,0,0,0,0,0
1700124L16Rik,0,0,2,0,0,0,0,0,0,1,0,0
1700125G02Rik,1,0,0,1,0,0,1,0,0,0,0,0
1700125G22Rik,0,0,0,0,0,0,0,0,2,0,0,0
1700125H03Rik,0,0,1,0,0,0,0,0,0,0,0,0
1700128E19Rik,0,0,1,0,3,1,4,5,0,1,2,2
1700129L04Rik,0,0,1,0,0,0,1,0,0,0,0,0
1810007D17Rik,0,2,0,0,0,0,0,0,0,0,0,0
1810009A15Rik,1,2,1,1,1,0,0,1,5,8,8,5
1810010H24Rik,4,0,2,1,1,4,1,2,2,2,0,0
1810010K12Rik,3,1,1,1,0,1,0,0,4,4,2,3
1810012K08Rik,1,0,0,0,0,0,0,0,0,0,0,0
1810013D15Rik,0,0,0,0,0,0,0,0,0,1,0,0
1810013L24Rik,69,62,53,46,27,13,14,18,54,47,36,22
1810014B01Rik,2,2,2,0,2,0,0,1,3,0,5,1
1810021B22Rik,2,0,0,0,0,1,0,0,2,0,2,1
1810024B03Rik,0,0,2,0,0,0,0,0,0,0,1,0
1810030O07Rik,6,8,5,10,4,3,3,2,14,12,6,5
1810034E14Rik,1,0,0,0,1,0,0,1,0,0,0,0
1810037I17Rik,12,5,7,6,2,2,2,4,1,0,1,3
1810041H14Rik,0,1,1,0,0,0,0,0,0,0,0,0
1810044D09Rik,0,2,0,1,0,0,0,0,0,4,0,1
1810053B23Rik,1,0,0,0,0,0,0,0,0,0,0,0
1810055G02Rik,10,14,13,7,2,5,4,2,9,12,3,3
1810058I24Rik,11,18,20,19,8,4,4,3,8,13,5,7
1810059C17Rik,0,1,0,0,0,1,0,0,0,0,0,0
1810059H22Rik,2,2,1,0,0,1,1,1,9,0,3,0
1810062G17Rik,0,0,0,1,0,0,0,0,0,0,0,0
1810062O18Rik,0,0,0,0,0,0,0,0,0,1,1,1
1810064F22Rik,0,0,0,0,0,0,0,0,0,0,1,0
2010001A14Rik,0,2,1,1,2,1,3,0,5,6,4,4
2010001K21Rik,0,0,0,0,0,1,0,0,0,0,1,0
2010007H06Rik,2,0,1,0,0,0,0,0,1,1,0,0
2010016I18Rik,0,0,2,0,1,0,2,0,0,1,0,0
2010106C02Rik,0,0,0,0,0,0,1,0,0,0,0,0
2010106G04Rik,0,0,0,0,0,0,0,0,0,0,0,0
2010204K13Rik,3,1,1,0,0,0,0,0,0,0,0,1
2010308F09Rik,0,0,0,0,0,0,0,0,0,1,0,0
2010315B03Rik,4,0,3,1,1,0,0,1,7,8,1,2
2010320M18Rik,2,1,1,3,3,0,1,0,1,0,0,1
2200002D01Rik,0,1,0,0,0,0,0,0,1,0,0,0
2210011K15Rik,0,0,0,0,0,0,1,0,0,0,0,0
2210016F16Rik,7,9,6,3,5,2,4,2,4,3,1,1
2210016L21Rik,124,107,99,87,15,20,23,18,48,38,14,14
2210020O09Rik,1,0,0,0,0,1,0,0,0,0,0,1
2210406H18Rik,0,0,0,0,0,0,0,0,0,0,1,0
2210406O10Rik,0,4,1,0,0,1,1,1,3,0,2,0
2210408F21Rik,10,2,3,2,0,0,0,0,2,0,0,0
2210408I21Rik,9,16,5,15,5,2,4,5,22,11,10,6
2210412B16Rik,1,0,0,0,0,0,0,5,1,0,0,0
2300009A05Rik,2,1,0,3,1,2,1,3,5,7,1,0
2310001H17Rik,0,1,0,0,1,1,0,0,0,0,0,0
2310002F09Rik,1,0,0,0,0,0,0,0,0,0,0,0
2310009B15Rik,0,2,0,1,0,0,1,1,4,1,1,0
2310010J17Rik,0,0,0,0,0,0,0,0,0,0,0,2
2310011J03Rik,2,10,4,4,4,1,2,4,11,7,3,5
2310014F06Rik,1,0,0,0,1,1,0,1,0,0,0,0
2310015A10Rik,12,8,5,10,5,4,6,1,8,14,6,8
2310016G11Rik,0,1,0,0,0,0,0,0,0,0,0,0
2310020H05Rik,0,1,1,0,0,0,0,0,0,0,0,0
2310022A10Rik,20,15,18,12,5,10,8,6,27,23,11,6
2310022B05Rik,34,25,22,21,17,15,24,16,43,36,20,16
2310026L22Rik,0,0,0,0,0,1,0,0,0,0,0,0
2310030A07Rik,1,1,0,1,0,0,0,0,5,5,5,4
2310030G06Rik,0,0,0,0,1,0,0,0,0,0,0,0
2310033P09Rik,2,6,3,2,3,2,1,0,4,0,3,1
2310034G01Rik,0,0,0,2,0,0,1,1,0,1,1,0
2310034O05Rik,0,0,0,0,1,0,0,0,1,0,0,0
2310039H08Rik,2,1,2,2,2,1,0,1,1,1,2,0
2310039L15Rik,0,0,0,0,0,1,0,0,0,0,0,0
2310040G07Rik,0,0,1,0,0,0,0,0,0,0,0,0
2310040G24Rik,0,0,1,1,0,0,0,0,0,0,0,0
2310043M15Rik,0,0,0,1,1,0,0,0,0,1,0,0
2310043P16Rik,0,1,1,1,0,1,0,0,0,2,0,1
2310047D07Rik,0,0,0,0,0,0,1,0,1,2,1,0
2310057M21Rik,14,18,7,7,4,2,0,5,15,11,15,7
2310058D17Rik,3,2,1,0,0,0,2,0,1,1,0,0
2310061I04Rik,42,45,29,31,4,4,8,5,54,41,21,20
2310068J16Rik,0,0,1,0,0,0,0,0,0,2,0,0
2310074N15Rik,1,0,0,0,0,0,0,0,0,0,0,0
2410002F23Rik,22,20,13,14,5,6,5,4,11,8,8,3
2410004B18Rik,5,3,1,5,3,1,1,0,6,2,4,2
2410004I01Rik,0,0,0,0,0,0,0,1,0,0,0,0
2410004P03Rik,0,0,0,0,0,1,1,0,0,0,0,0
2410006H16Rik,0,0,2,0,0,0,1,0,0,0,1,1
2410018L13Rik,0,0,1,0,0,0,0,0,0,0,0,0
2410021H03Rik,4,3,2,0,1,2,0,1,5,1,0,1
2410022M11Rik,4,1,0,0,0,0,1,0,3,1,2,1
2410080I02Rik,0,1,0,0,0,0,0,0,0,0,0,0
2410152P15Rik,0,0,0,0,0,0,1,0,0,0,0,0
2500002B13Rik,0,0,1,0,0,0,0,0,0,1,0,1
2500004C02Rik,10,2,5,3,0,1,2,2,5,1,1,1
2510002D24Rik,1,1,2,2,4,1,1,1,1,5,2,4
2510009E07Rik,236,219,178,184,51,56,55,42,234,220,127,83
2510016D11Rik,0,0,0,1,0,0,0,1,0,0,0,0
2510017J16Rik,0,1,0,1,0,0,0,0,1,0,1,0
2510039O18Rik,22,17,10,21,6,10,5,5,22,22,13,10
2510046G10Rik,0,1,0,0,0,0,1,1,2,0,0,1
2600006K01Rik,0,0,1,0,0,1,0,0,1,0,0,0
2600014E21Rik,15,9,8,7,0,0,0,0,2,1,1,0
2610001A08Rik,1,0,0,0,0,0,0,0,2,0,1,1
2610001J05Rik,7,11,6,2,3,1,3,1,3,5,1,4
2610002M06Rik,57,41,39,46,10,12,6,11,12,13,3,6
2610005L07Rik,0,0,0,0,1,0,1,0,0,0,0,0
2610008E11Rik,8,5,4,4,1,4,3,1,24,14,13,10
2610011E03Rik,2,2,0,0,4,0,4,4,1,2,0,0
2610012C04Rik,0,0,0,1,0,0,0,0,1,0,0,0
2610020C07Rik,2,1,1,0,2,3,0,0,7,6,2,1
2610021A01Rik,15,20,13,15,5,7,7,5,31,22,17,14
2610024D14Rik,0,0,0,1,1,0,0,0,0,0,0,0
2610027K06Rik,1,1,1,1,1,2,0,0,0,3,0,0
2610028D06Rik,1,1,0,0,0,0,0,0,3,1,0,3
2610035D17Rik,1,2,0,2,0,0,0,0,1,0,0,1
2610037D02Rik,2,0,3,0,0,2,1,0,5,2,1,2
2610044O15Rik8,2,3,3,3,2,2,2,0,13,6,5,4
2610206C17Rik,0,0,0,1,0,0,0,0,0,0,0,1
2610300M13Rik,0,0,0,0,0,1,0,0,0,0,0,0
2610301B20Rik,21,14,13,10,3,3,5,1,15,20,14,4
2610306M01Rik,1,1,2,5,1,3,2,1,4,1,1,0
2610307P16Rik,1,0,0,0,0,0,0,0,0,0,0,0
2610316D01Rik,1,2,4,0,0,1,0,0,0,1,0,0
2610318N02Rik,1,0,1,0,1,0,1,0,0,0,0,0
2610507B11Rik,186,132,109,112,40,36,32,41,113,119,55,51
2610528A11Rik,0,0,2,1,0,0,0,0,1,0,1,1
2700029L08Rik,0,0,0,1,0,2,0,2,2,0,0,0
2700033N17Rik,1,0,0,0,0,1,0,0,1,0,0,1
2700038G22Rik,0,0,1,2,0,0,0,0,3,0,1,1
2700046A07Rik,0,0,0,0,0,0,0,0,0,0,0,0
2700046G09Rik,0,2,6,2,0,1,2,1,3,10,3,2
2700049A03Rik,10,10,15,6,4,3,10,4,42,36,28,11
2700054A10Rik,2,1,3,1,1,0,0,0,0,1,1,0
2700062C07Rik,2,4,4,1,1,3,0,0,4,4,0,0
2700068H02Rik,0,0,2,0,0,0,0,0,0,0,0,0
2700069I18Rik,4,2,0,0,2,0,0,1,0,0,0,2
2700078F05Rik,4,3,2,3,0,1,1,0,3,1,0,1
2700081O15Rik,20,19,21,22,3,10,7,10,16,6,5,3
2700097O09Rik,5,5,6,3,1,3,1,2,4,5,4,5
2700099C18Rik,3,2,2,0,0,1,1,0,1,1,0,0
2810001G20Rik,8,9,7,2,3,1,2,3,9,6,3,1
2810002D19Rik,0,2,1,2,0,0,0,1,0,3,2,0
2810004N23Rik,13,7,7,5,1,2,5,4,9,13,7,6
2810006K23Rik,11,4,12,4,2,7,0,3,14,13,6,4
2810013P06Rik,10,17,7,7,3,3,10,9,22,17,11,11
2810021J22Rik,8,6,11,5,5,2,7,3,11,4,11,4
2810025M15Rik,2,3,0,1,1,0,0,0,2,1,4,0
2810029C07Rik,2,1,1,1,2,3,3,2,8,3,6,7
2810030D12Rik,0,0,0,0,0,0,0,0,1,2,1,4
2810032G03Rik,4,3,1,4,0,1,0,1,2,2,0,1
2810039B14Rik,9,6,7,0,2,2,1,1,4,3,4,0
