"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Gm37848",0.0376617529765709,-4.33132992654123,3.08346571306848,-1.4046953427061,0.160111891271067,0.309155241484821
"Lrfn1",1.82600222614338,1.21415848972632,0.864351008074815,1.40470535509716,0.160108912709335,0.309155241484821
"RP23-297M4.7",0.0376617529765709,-4.33132992654123,3.08346571306848,-1.4046953427061,0.160111891271067,0.309155241484821
"Slc36a1",3.21976824405172,-1.01035194476574,0.719201063771764,-1.40482543152407,0.160073194730394,0.309155241484821
"Mid1",1.39822854186718,-1.32212622495499,0.94174818256888,-1.40390631957316,0.160346747585719,0.309577292511973
"Anapc13",60.6709605016558,-0.291581314324997,0.207847346515962,-1.40286281837427,0.160657750238675,0.310146256702512
"Acyp2",21.6872308449405,0.558842620957215,0.398385736246882,1.40276764480066,0.160686138214695,0.31016957935678
"Gm16170",0.0399312728582496,-4.32398272361502,3.08315437898959,-1.40245417261009,0.160779666192606,0.310255658988491
"Gm20539",0.0399312728582496,-4.32398272361502,3.08315437898959,-1.40245417261009,0.160779666192606,0.310255658988491
"Rnf208",15.9179641330039,0.68789673676707,0.490467614385819,1.40253243351955,0.160756312312246,0.310255658988491
"Dennd2a",8.12961876489006,-0.79094155633428,0.564117730669431,-1.40208597130191,0.160889575747259,0.310423990086971
"Prdm10",4.69118444113032,-0.862892876363791,0.615449714832627,-1.40205260570875,0.160899538313835,0.310423990086971
"Fhl1",18.3886821037831,0.593104040261397,0.423075310512384,1.40188762029883,0.16094880783189,0.310487553120728
"RP23-23C4.6",0.541237229293527,-2.92701987397072,2.08866149802413,-1.40138546946916,0.161098835043382,0.310745455974056
"Bcas3os2",0.304992248230009,-1.45205622267156,1.03629862460252,-1.40119477937984,0.161155835038584,0.31082388341806
"E2f6",7.15194363846853,1.05796002592074,0.755207915595903,1.4008857747286,0.161248233289738,0.31097056122925
"Narf",52.7334359498061,0.351720391656489,0.251192013970618,1.4002053094635,0.161451846371679,0.311331667663797
"Ica1",17.1323379816888,0.647865151740685,0.462845860915033,1.3997427792913,0.161590358346881,0.31156717750796
"Abcd4",35.5900352523132,0.47204459214706,0.337335543508305,1.39933250803569,0.161713295636646,0.311747665323129
"Gale",5.55465059607051,1.05075843914704,0.750905932250632,1.39932099883361,0.161716745373183,0.311747665323129
"Tmem222",23.0625355096675,0.519567288371929,0.371325083892987,1.39922485958871,0.161745564056148,0.311771622812321
"Dhrs13",6.91856151756486,1.06491982180154,0.761312008350105,1.39879551369406,0.161874312026971,0.311956564241642
"Pgc",3.6547067262835,1.26454431551443,0.904013253912795,1.39881169887849,0.16186945717231,0.311956564241642
"Rnf214",27.582861782389,0.466674444750882,0.333648873228164,1.39869929796451,0.161903174849469,0.311980578341784
"Clnk",0.894388945657712,-1.25204296579157,0.895457513629447,-1.39821593625008,0.162048232618148,0.312228467648886
"RP23-396K22.3",0.0798730325250122,-3.34156155517083,2.39045513237867,-1.397876709715,0.162150093707971,0.312393085426853
"Atp7a",3.89162281255705,-0.993195969221521,0.710756774618238,-1.39737812524543,0.162299893619534,0.312523413295926
"Cd53",0.0384546621804405,-4.30750174634224,3.082461369651,-1.39742278321884,0.162286471856456,0.312523413295926
"Lat",0.853170915973091,-1.36040411301566,0.973519947905985,-1.39740753740265,0.162291053827201,0.312523413295926
"RP23-463H10.1",0.0384546621804405,-4.30750174634224,3.082461369651,-1.39742278321884,0.162286471856456,0.312523413295926
"RP24-328P2.5",0.0384546621804405,-4.30750174634224,3.082461369651,-1.39742278321884,0.162286471856456,0.312523413295926
"4930503L19Rik",3.13266219445216,1.19983417257508,0.858793394256421,1.39711621048732,0.162378627843426,0.312580091105131
"Ccdc114",0.321916853050287,-1.30679040173017,0.935320380730112,-1.39715805263443,0.162366047737131,0.312580091105131
"Malt1",5.13635036954417,-1.00393041031384,0.718541630515547,-1.39717779412939,0.162360112587094,0.312580091105131
"Hnrnpdl",210.640548658604,0.238586585523193,0.170788425088714,1.39697163551489,0.162422100884482,0.312619674038673
"Msn",7.1991311499114,0.991589737942073,0.709830624138359,1.39693851493901,0.162432061328227,0.312619674038673
"Teddm2",2.34298636567352,-1.08664561560556,0.777955808507047,-1.39679606954914,0.162474904583498,0.312670493735604
"Gfra4",16.7236170159981,0.688099194796448,0.49272424823115,1.39651985317687,0.162558006389619,0.312767129226881
"Ppp1r3e",0.32028155076955,-1.30799808686063,0.936597578417622,-1.39654224717353,0.162551267790367,0.312767129226881
"Wdr45",9.13955137167981,-0.666552775313968,0.47734012302153,-1.39638958295551,0.162597210307083,0.3128109170882
"Prrc1",8.65897508775902,0.921591131193481,0.660046506473021,1.3962518127973,0.162638679038313,0.312859052790023
"Stab2",0.311510052419749,-1.38670154762548,0.99325637315604,-1.39611643589991,0.162679435170627,0.31290580810805
"Man2c1",5.23444819600994,1.1373843236645,0.814762604645515,1.39597020921124,0.162723466360724,0.312958852744927
"Bmp2",0.040733626291851,-4.30200763676344,3.08223198694527,-1.39574427070529,0.162791517726351,0.313058078927604
"Gm37860",0.266776142665489,-1.54627678317947,1.10796843323249,-1.39559642386942,0.162836059952176,0.313112080100115
"0610011F06Rik",47.7473717517124,-0.350050197171376,0.250880359242101,-1.39528737215166,0.162929198508748,0.313206791154807
"Chp1",11.7845353126759,-0.632454071969516,0.453252367393662,-1.39536849108217,0.162904747903139,0.313206791154807
"Fzd6",1.4150189585844,-1.24051295840806,0.889085110029738,-1.39526907425834,0.162934714183104,0.313206791154807
"Rer1",38.3504997519996,-0.377177125580364,0.27039675255043,-1.39490257195311,0.163045221444951,0.313387546190827
"Gm37132",0.279376465631694,-1.46981488482686,1.05392076662211,-1.39461611477467,0.163131632956133,0.313521955184259
"Slc15a3",0.260356555085878,-1.57616660330368,1.13032972363258,-1.3944308199189,0.163187546641531,0.313597729305775
"D10Wsu102e",2.96728497735629,1.18334344808554,0.84882844371541,1.39409023913705,0.163290356349295,0.313733871368961
"Gdi1",107.808901991865,0.23552847012849,0.168948204305573,1.39408685103569,0.163291379346654,0.313733871368961
"1700028P14Rik",0.039400564778584,-4.29603037046514,3.08198335792393,-1.39391744586155,0.163342535407612,0.313800461164347
