,Gene,Bipolar1/Rods,Bipolar2/Rods,Bipolar3/Rods,Bipolar4/Rods,Bipolar5/Rods,Bipolar6/Rods,Bipolar1/Cones,Bipolar2/Cones,Bipolar3/Cones,Bipolar4/Cones,Bipolar5/Cones,Bipolar6/Cones,Bipolar1/MG,Bipolar2/MG,Bipolar3/MG,Bipolar4/MG,Bipolar5/MG,Bipolar6/MG,Bipolar1/BCs,Bipolar2/BCs,Bipolar3/BCs,Bipolar4/BCs,Bipolar5/BCs,Bipolar6/BCs
1700003M07Rik,1700003M07Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700003P14Rik,1700003P14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1700006A11Rik,1700006A11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006E09Rik,1700006E09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006F04Rik,1700006F04Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700006J14Rik,1700006J14Rik,0,1,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700007B14Rik,1700007B14Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,1
1700007G11Rik,1700007G11Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,1,1,0
1700007J10Rik,1700007J10Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,1,2,4
1700007K09Rik,1700007K09Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,2
1700007K13Rik,1700007K13Rik,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,2
1700007L15Rik,1700007L15Rik,0,0,0,0,0,0,0.0,0,0,0,1,0,0,3,1,1,4,1,6,5,4,3,6,9
1700007M16Rik,1700007M16Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1700008A23Rik,1700008A23Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1700008F21Rik,1700008F21Rik,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
1700008J07Rik,1700008J07Rik,0,0,0,0,1,0,0.0,0,0,0,1,0,8,5,5,7,17,20,40,35,30,33,64,70
