Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Thoc1,1,4,6,11,10,6,253,352,326,442,541,478
Thoc2,6,2,13,16,27,32,558,822,704,923,1804,1585
Thoc3,1,0,2,4,5,1,108,179,170,206,420,360
Thoc5,4,4,1,6,11,9,73,98,84,122,190,195
Thoc6,0,0,1,4,3,2,44,54,48,57,131,99
Thoc7,13,6,11,21,30,26,795,1094,1010,1298,2318,2118
Thop1,0,0,0,0,1,0,14,24,20,23,44,42
Thpo,0,0,0,1,0,0,0,2,1,0,4,6
Thra,4,3,13,20,19,22,631,837,717,981,2243,2094
Thrap3,4,3,9,18,18,15,594,851,818,960,1845,1576
Thrb,2,0,1,7,6,6,15,16,22,22,101,71
Thrsp,4,2,1,3,1,0,211,264,281,339,621,505
Thsd1,0,0,0,0,0,0,8,8,5,9,8,1
Thsd4,0,0,0,0,0,0,4,4,1,8,17,21
Thsd7a,6,4,13,19,15,20,770,1071,1051,1271,2720,2345
Thsd7b,0,0,0,0,0,0,2,5,4,4,2,4
Thtpa,0,0,0,1,3,0,70,76,70,90,168,127
Thumpd1,8,3,1,7,6,10,191,246,256,281,563,545
Thumpd2,1,0,0,1,2,1,37,43,46,31,79,67
Thumpd3,0,1,0,2,2,0,59,59,83,71,133,126
Thy1,0,0,0,1,0,0,22,32,20,37,126,101
Thyn1,1,1,2,3,1,10,137,150,178,155,373,341
Tia1,5,8,11,21,17,10,744,945,1014,1034,1793,1479
Tial1,9,8,16,17,19,20,571,773,797,864,1446,1321
Tiam1,0,1,1,0,0,1,79,122,88,117,142,145
Tiam2,0,0,0,0,0,0,2,4,3,2,6,2
Ticam1,0,0,0,0,0,0,1,2,1,2,3,1
Ticrr,0,0,0,0,0,0,1,0,0,0,0,0
Tie1,0,0,0,0,0,0,0,1,0,0,1,1
Tifa,3,0,1,0,0,1,34,32,33,46,71,65
Tifab,0,0,0,0,0,0,0,0,0,0,0,0
Tigar,0,0,0,0,1,3,0,0,0,0,98,65
Tigd2,2,2,0,3,14,4,163,208,218,231,443,371
Tigd3,0,0,0,0,0,0,0,2,2,1,2,5
Tigd4,0,0,0,0,0,0,0,1,1,0,0,2
Tigd5,1,0,0,1,0,0,9,12,7,1,33,25
Tigit,0,0,0,0,0,0,0,0,0,0,1,1
Timd2,0,0,0,0,0,0,0,1,0,0,0,0
Timeless,0,0,0,1,1,1,35,55,45,52,192,145
Timm10,3,0,1,3,5,3,176,164,143,194,338,301
Timm10b,0,1,3,3,2,7,190,213,182,248,390,383
Timm13,6,3,6,6,17,14,456,514,484,622,1240,1017
Timm17a,0,1,0,4,8,5,190,228,249,272,502,416
Timm17b,1,0,3,4,6,9,150,193,173,190,459,428
Timm21,2,2,1,5,4,4,104,114,109,108,186,174
Timm22,2,3,3,6,5,2,106,137,129,180,366,290
Timm23,0,0,1,2,1,1,38,43,22,49,46,44
Timm44,8,3,9,21,17,22,342,457,399,601,809,724
Timm50,0,1,1,0,2,1,72,101,84,113,264,223
Timm8a1,0,0,0,0,0,0,4,7,6,11,22,13
Timm8a2,0,0,0,0,0,0,1,0,0,0,1,2
Timm8b,9,5,13,27,38,23,1117,1261,1120,1470,2364,2084
Timm9,0,3,0,1,4,2,104,136,115,147,239,217
Timmdc1,0,1,1,1,2,3,77,83,85,111,238,182
Timp1,0,0,0,0,0,0,0,1,0,1,3,2
Timp2,2,0,1,0,1,1,218,262,261,299,692,566
Timp3,0,0,1,0,2,1,108,148,136,149,527,395
Timp4,0,0,0,0,0,0,0,1,0,0,0,1
Tinagl1,0,0,0,0,0,0,0,0,0,0,1,0
Tinf2,0,0,2,1,3,1,69,75,76,70,119,115
Tiparp,1,1,0,0,2,1,33,29,43,34,99,97
Tipin,0,0,2,3,0,3,78,109,92,107,217,171
Tiprl,4,5,7,16,11,14,560,741,717,828,1247,1113
Tirap,0,0,0,0,0,0,10,16,15,18,15,15
Tjap1,0,3,2,1,5,5,58,77,61,85,217,186
Tjp1,2,3,0,2,11,7,88,141,139,174,346,279
Tjp2,6,3,9,18,15,28,832,1103,1111,1335,2203,1964
Tjp3,0,0,0,0,1,0,25,50,43,51,59,49
Tk1,0,0,0,0,0,0,1,3,1,1,4,2
Tk2,1,1,0,2,3,1,69,83,82,71,133,118
Tkfc,0,0,0,0,1,1,0,0,0,0,63,52
Tkt,3,0,3,3,4,1,229,289,256,350,699,602
Tktl1,0,0,0,0,0,0,1,1,0,1,1,1
Tktl2,0,0,0,0,0,0,1,0,0,0,0,0
Tlcd1,0,0,0,0,0,0,7,6,9,12,17,17
Tlcd2,0,0,0,0,0,0,1,3,3,5,9,9
Tldc1,0,0,0,0,0,0,0,2,1,2,1,2
Tldc2,0,0,0,0,0,0,0,1,0,0,2,2
Tle1,4,0,5,2,2,5,106,159,144,172,342,299
Tle2,1,3,4,5,1,1,152,195,162,255,275,258
Tle3,1,0,0,1,1,0,58,99,77,114,271,246
Tle4,2,2,2,3,6,2,36,58,52,75,180,152
Tle6,1,1,2,0,3,3,162,221,187,243,368,331
Tlk1,5,2,2,2,3,8,108,152,133,155,473,377
Tlk2,2,8,10,10,14,17,366,513,500,656,1183,1082
Tll1,0,0,0,0,0,0,1,1,1,0,1,2
Tll2,0,0,0,0,0,0,1,1,0,0,1,1
Tln1,2,1,3,5,5,3,202,294,240,301,554,496
Tln2,3,0,3,8,9,16,85,137,120,131,460,385
Tlr1,0,0,0,0,0,0,0,0,0,1,0,0
Tlr11,0,0,0,0,0,0,1,0,0,0,0,0
Tlr12,0,0,0,0,0,0,0,0,0,0,0,1
Tlr2,0,0,0,0,0,0,0,0,0,0,0,0
Tlr3,0,0,0,0,0,0,4,8,5,11,13,10
Tlr4,0,0,0,0,0,0,0,0,0,0,0,0
Tlr5,0,0,0,0,0,0,0,0,0,0,1,0
Tlr6,0,0,0,0,0,0,1,1,1,1,1,0
Tlr7,0,0,0,0,0,0,0,1,0,1,0,0
Tlr8,0,0,0,0,0,0,0,1,0,0,0,0
Tlr9,0,0,0,0,0,0,0,0,0,0,0,0
Tlx1,0,0,0,0,0,0,0,0,0,0,1,0
Tlx1os,0,0,0,0,0,0,0,0,0,0,0,0
Tlx3,0,0,0,0,0,0,0,0,0,1,0,0
Tm2d1,4,4,5,6,8,9,298,369,319,376,659,629
Tm2d2,5,9,8,11,16,17,455,500,524,554,1191,1066
Tm2d3,2,0,7,2,5,6,198,212,219,273,478,450
Tm4sf1,0,0,0,0,0,0,0,1,0,0,4,0
Tm4sf19,0,0,0,0,0,0,0,0,0,1,0,0
Tm4sf20,0,0,0,0,0,0,0,1,1,1,4,0
Tm4sf4,0,0,0,0,0,0,1,0,0,1,1,0
Tm4sf5,0,0,0,0,0,0,0,0,0,0,0,1
Tm6sf1,0,0,0,0,4,2,18,25,25,33,98,93
