Gene,ONL_1,ONL_2,ONL_3,ONL_4,ONL_5,ONL_6,BP_1,BP_2,BP_3,BP_4,BP_5,BP_6
Esd,1,5,3,17,16,9,295,364,366,427,960,771
Esf1,5,3,15,17,21,29,587,759,658,1019,1905,1628
Esp1,0,0,0,0,0,0,0,0,0,0,0,0
Esp34,0,0,0,0,0,0,0,1,0,0,0,0
Esp36,0,0,0,0,0,0,0,0,0,0,0,0
Espl1,0,0,0,0,0,0,0,0,0,1,2,3
Espn,0,0,0,1,0,2,82,127,103,120,385,344
Espnl,0,0,0,0,0,0,1,1,0,1,1,0
Esr1,0,0,0,0,0,0,0,1,0,1,3,0
Esr2,0,0,0,0,0,0,0,0,0,0,2,0
Esrp1,0,0,0,0,0,0,1,3,1,3,13,14
Esrp2,0,0,0,0,0,0,0,1,0,1,0,1
Esrra,1,1,0,3,3,2,68,95,80,104,188,184
Esrrb,1,2,2,4,7,11,1,0,1,2,1,1
Esrrg,2,2,0,5,6,2,64,103,94,95,413,363
Esyt1,0,0,0,0,0,0,3,5,3,6,18,14
Esyt2,1,2,2,1,2,3,116,161,151,207,291,295
Esyt3,0,0,0,0,0,0,2,1,0,1,3,2
Etaa1,2,2,4,0,3,4,77,122,103,116,205,151
Etaa1os,0,0,0,0,0,0,5,2,5,6,21,13
Etd,0,0,0,0,0,0,0,0,0,0,1,0
Etf1,2,2,6,16,16,9,274,342,367,379,753,719
Etfa,4,3,5,7,11,13,260,311,352,329,771,661
Etfb,2,1,3,3,6,5,215,261,242,294,647,530
Etfdh,1,0,1,2,0,3,46,51,35,68,117,81
Ethe1,1,0,0,0,0,1,12,13,16,13,57,41
Etl4,0,0,0,0,0,0,6,7,4,2,4,7
Etnk1,3,5,1,9,8,7,293,372,355,394,575,446
Etnk2,0,0,0,0,0,0,15,17,21,27,25,20
Etnppl,0,0,0,0,0,0,4,8,6,5,14,8
Etohd2,0,0,0,2,1,1,23,23,32,29,55,48
Etohi1,0,0,0,0,0,0,12,17,14,22,13,13
Etos1,0,0,0,0,0,0,1,0,0,0,1,1
Ets1,0,0,0,0,0,0,0,2,0,0,3,0
Ets2,0,0,0,0,0,0,16,16,15,18,47,39
Etv1,0,0,4,0,1,0,16,18,22,27,45,47
Etv2,0,0,0,1,0,0,1,1,0,0,1,1
Etv3,0,1,1,1,0,1,48,59,58,65,116,109
Etv4,0,0,0,2,0,2,29,43,39,27,114,99
Etv5,1,0,0,4,1,0,48,75,73,83,133,100
Etv6,0,1,1,0,0,0,15,31,17,29,74,42
Eva1a,0,0,0,0,0,0,2,2,1,3,8,7
Eva1b,0,1,0,0,0,0,0,6,1,4,5,1
Eva1c,0,0,1,0,0,0,8,7,6,8,17,9
Evc,0,0,0,0,0,0,1,4,2,3,7,2
Evc2,0,0,1,0,0,0,6,12,12,23,29,27
Evi2a,0,0,0,0,0,0,1,1,0,0,2,2
Evi5,3,2,2,4,3,5,184,255,217,263,470,420
Evi5l,0,0,1,3,0,1,83,95,94,96,247,226
Evl,1,1,5,9,13,9,336,394,319,437,1034,931
Evpl,0,0,0,0,0,0,0,1,1,0,4,2
Evx2,0,0,0,0,0,0,1,0,0,0,0,0
Ewsr1,6,4,7,15,22,26,672,846,797,842,1557,1328
Exd1,0,0,0,0,0,0,2,2,5,2,5,2
Exd2,0,0,1,1,3,1,123,137,136,144,255,208
Exo1,0,0,0,0,0,0,1,0,0,0,0,1
Exo5,1,0,1,0,0,1,41,37,44,56,87,68
Exoc1,2,0,0,1,2,4,113,165,148,177,267,237
Exoc2,1,0,0,1,4,1,54,92,79,95,146,104
Exoc3,0,3,9,13,20,12,436,493,496,561,1237,1092
Exoc3l,0,0,0,3,0,0,3,1,1,4,8,4
Exoc3l2,0,0,0,0,0,0,1,7,2,1,9,6
Exoc3l4,0,0,0,0,0,0,0,1,1,2,0,1
Exoc4,1,0,5,1,3,4,71,105,89,127,268,230
Exoc5,3,1,2,3,6,3,189,258,252,321,579,415
Exoc6,0,1,0,1,2,2,27,34,44,49,65,61
Exoc6b,1,2,0,1,1,0,28,40,38,41,73,64
Exoc7,0,0,2,1,4,5,92,120,106,151,312,293
Exoc8,0,2,1,2,1,2,31,35,35,45,96,79
Exog,0,0,0,0,1,1,26,26,29,36,95,85
Exosc1,0,1,1,0,1,3,96,102,118,135,215,200
Exosc10,2,4,6,1,5,4,164,213,197,240,496,429
Exosc2,1,0,0,2,3,2,67,70,67,79,189,161
Exosc3,1,0,0,4,8,3,114,125,126,140,271,248
Exosc4,2,1,1,1,1,1,79,95,96,101,257,199
