"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Nedd9",1.23373279515261,-1.4138854009569,1.07860257262899,-1.31084927556838,0.189908690963137,NA
"Neil1",0.537413622462346,1.80572807572691,1.69566920621001,1.0649058608329,0.286918532574168,NA
"Neil2",0.193821718839993,-0.258895595449525,3.11855857047782,-0.0830177114197529,0.933837456549936,NA
"Nek1",2.45511869427259,1.30704716345612,0.695835562580698,1.87838511531169,0.0603285002596256,NA
"Nek10",0.226419456849618,1.74755517922007,3.16074699792792,0.552893091527322,0.58033661831989,NA
"Nek11",0.200173631911427,2.32462454768241,3.16074699792792,0.73546682135785,0.462055239266418,NA
"Nek2",0.0484902188673162,1.17048292813144,3.16074699792792,0.370318449688878,0.711145228588265,NA
"Nek3",0.159526034356264,1.74755517922007,3.16074699792792,0.552893091527322,0.58033661831989,NA
"Nek4",1.73389070700404,0.512028352407771,0.885162021014382,0.578457209247403,0.562955479204532,NA
"Nek6",1.7723554868163,0.623523356378278,0.798825679291928,0.780549965457999,0.435067229409404,NA
"Nek7",2.6096561054477,-0.36156327225863,0.698977169093625,-0.517274795580913,0.604964345892632,NA
"Nek8",0.120826513772992,0.582723635422667,3.15959811648316,0.184429669198333,0.853676396358766,NA
"Nelfe",0.62184707015104,-0.832673733125546,1.34814300395632,-0.617644961018188,0.536809400122123,NA
"Nemp1",0.615450399777415,-0.459880270704146,1.5329364525439,-0.299999566153559,0.764177486549609,NA
"Nemp2",0.877970989629625,-0.544937361593458,1.17982985847715,-0.461877920513749,0.644168868447756,NA
"Nenf",1.80278474320179,-0.619394651303166,0.88965287837026,-0.696220589358206,0.48629069540111,NA
"Nepro",1.03590472989083,1.08017252454041,1.22778382673195,0.879774192347484,0.378981648022211,NA
"Nes",0.651534933962635,0.0473982600829458,1.52301091345223,0.0311214185428963,0.975172708414322,NA
"Net1",1.18284922722004,0.00664647560452235,1.03547620790909,0.00641876226006526,0.994878603860609,NA
"Neu3",0.499161264271742,0.782461218940892,1.67870844731235,0.466109061519068,0.641137437463552,NA
"Neurl1b",0.514447355466364,0.952469546690121,1.69093780099185,0.563278877633129,0.573244998921383,NA
"Neurl3",0.0976453019776114,2.32462454768241,3.16074699792792,0.73546682135785,0.462055239266418,NA
"Neurod6",0.0902156026643281,0.600870167598768,3.15992034555332,0.19015358043576,0.849188784823176,NA
"Neurog2",0.30061257950951,-0.853520554588088,2.38267655976366,-0.358219226646839,0.720179259898184,NA
"Nfam1",0.117905333357865,0.582723862559211,3.15959812049784,0.184429740851788,0.853676340151679,NA
"Nfatc1",0.0834507675940237,0.611030516968597,3.16010206488309,0.193357842380703,0.846678729258255,NA
"Nfatc2ip",0.254236385349562,2.1517822949328,3.01241696661787,0.714304267562492,0.47503905392241,NA
